parentID;ID;code;name;comments;hasGrain;length;width;thickness;quantity;units;coverSide;type;materialType;materialCode;colorCode
237;240;A1_t66pinna_vasak_serv WP 2;WP of ;;False;;;0;0;m²;Left, Back, Front, Bottom;Cover Workpiece;Paint;värv;RAL_9011
179;250;A1_t66pinna_tugiliist;;;True;1173;80;21;1;;;Part;;;
250;251;A1_t66pinna_tugiliist WP 1;WP of ;;True;1173;80;21;0,094;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
250;253;A1_t66pinna_tugiliist WP 2;WP of ;;False;;;0;0;m²;Front, Bottom;Cover Workpiece;Paint;värv;RAL_9011
179;16;Sokli korrigeerija MF 300-00-Z2-00-Z2;;;;;;;4;;;Purchased;;;
179;13;Kruvitõmmits 5x50;;;;;;;25;;;Purchased;;;
179;607;puit_tyybel_8x35;;;;;;;8;;;Purchased;;;
179;274;A1_sokliplekk;;;;;;;1;;;Purchased;;;
1;257;moodul_D1;;;;;;;1;;;Assembly;;;
257;261;D1_esipaneel;;;True;2217;862;15;1;;;Part;;;
261;262;D1_esipaneel WP 1;WP of ;;True;2217;862;15;1,911;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
261;264;D1_esipaneel WP 2;WP of ;;False;;;0;0;m²;Bottom;Cover Workpiece;Paint;värv;RAL_9011
257;266;D1_t66pind;;;True;2217;680;21;1;;;Part;;;
266;267;D1_t66pind WP 1;WP of ;;True;2217;680;21;1,508;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
266;269;D1_t66pind WP 2;WP of ;;False;;;0;0;m²;Left, Back, Right, Bottom;Cover Workpiece;Paint;värv;RAL_9011
257;295;D1_vasak_kylg;;;False;899;663;18;1;;;Part;;;
295;296;D1_vasak_kylg WP 1;WP of ;;False;899;663;18;0,596;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
295;298;D1_vasak_kylg WP 2;WP of ;;False;841;18;1;0,841;m;Back;Cover Workpiece;Edge Band;ABS;EG_F187
295;300;D1_vasak_kylg WP 3;WP of ;;False;530;18;1;0,53;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
257;302;D1_parem_kylg;;;False;899;663;18;1;;;Part;;;
302;303;D1_parem_kylg WP 1;WP of ;;False;899;663;18;0,596;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
302;305;D1_parem_kylg WP 2;WP of ;;False;841;18;1;0,841;m;Front;Cover Workpiece;Edge Band;ABS;EG_F187
302;307;D1_parem_kylg WP 3;WP of ;;False;530;18;1;0,53;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
257;309;D1_p6hjaliist;;;False;2181;65;18;1;;;Part;;;
309;310;D1_p6hjaliist WP 1;WP of ;;False;2181;65;18;0,142;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
309;312;D1_p6hjaliist WP 2;WP of ;;False;2181;18;1;2,181;m;Back;Cover Workpiece;Edge Band;ABS;EG_F187
257;314;D1_v2lis_sokkel;;;False;2217;68;18;1;;;Part;;;
314;315;D1_v2lis_sokkel WP 1;WP of ;;False;2217;68;18;0,151;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
314;317;D1_v2lis_sokkel WP 2;WP of ;;False;68;18;1;0,068;m;Left;Cover Workpiece;Edge Band;ABS;EG_F187
314;319;D1_v2lis_sokkel WP 3;WP of ;;False;2217;18;1;2,217;m;Front;Cover Workpiece;Edge Band;ABS;EG_F187
314;321;D1_v2lis_sokkel WP 4;WP of ;;False;68;18;1;0,068;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
257;13;Kruvitõmmits 5x50;;;;;;;39;;;Purchased;;;
257;259;Kapi jalg M6: MF PI05;J;;;;;;4;;;Purchased;;;
257;260;Puks M6: MF BP01;P;;;;;;4;;;Purchased;;;
257;332;D1_tugitoru;;;;;;;1;;;Purchased;;;
257;324;D1_sokliplekk;;;;;;;1;;;Purchased;;;
1;323;moodul_X1;;;;;;;1;;;Assembly;;;
323;324;X1_parem_kylg;;;False;909;663;18;1;;;Part;;;
